bee_id,group,trial,choice,block
1,LR,1,1,10
1,LR,2,1,10
1,LR,3,1,10
1,LR,4,1,10
1,LR,5,1,10
1,LR,6,1,10
1,LR,7,0,10
1,LR,8,0,10
1,LR,9,0,10
1,LR,10,0,10
1,LR,11,0,20
1,LR,12,0,20
1,LR,13,0,20
1,LR,14,1,20
1,LR,15,1,20
1,LR,16,0,20
1,LR,17,0,20
1,LR,18,0,20
1,LR,19,0,20
1,LR,20,0,20
1,LR,21,0,30
1,LR,22,0,30
1,LR,23,0,30
1,LR,24,1,30
1,LR,25,1,30
1,LR,26,1,30
1,LR,27,1,30
1,LR,28,1,30
1,LR,29,1,30
1,LR,30,1,30
1,LR,31,1,40
1,LR,32,0,40
1,LR,33,1,40
1,LR,34,1,40
1,LR,35,0,40
1,LR,36,1,40
1,LR,37,1,40
1,LR,38,1,40
1,LR,39,1,40
1,LR,40,1,40
2,RL,1,0,10
2,RL,2,1,10
2,RL,3,0,10
2,RL,4,0,10
2,RL,5,1,10
2,RL,6,1,10
2,RL,7,0,10
2,RL,8,0,10
2,RL,9,0,10
2,RL,10,0,10
2,RL,11,1,20
2,RL,12,0,20
2,RL,13,1,20
2,RL,14,1,20
2,RL,15,1,20
2,RL,16,1,20
2,RL,17,0,20
2,RL,18,1,20
2,RL,19,0,20
2,RL,20,1,20
2,RL,21,0,30
2,RL,22,1,30
2,RL,23,1,30
2,RL,24,1,30
2,RL,25,0,30
2,RL,26,1,30
2,RL,27,0,30
2,RL,28,0,30
2,RL,29,1,30
2,RL,30,1,30
2,RL,31,1,40
2,RL,32,0,40
2,RL,33,0,40
2,RL,34,1,40
2,RL,35,1,40
2,RL,36,0,40
2,RL,37,0,40
2,RL,38,0,40
2,RL,39,1,40
2,RL,40,1,40
3,LR,1,0,10
3,LR,2,0,10
3,LR,3,0,10
3,LR,4,0,10
3,LR,5,0,10
3,LR,6,1,10
3,LR,7,1,10
3,LR,8,1,10
3,LR,9,1,10
3,LR,10,1,10
3,LR,11,1,20
3,LR,12,1,20
3,LR,13,1,20
3,LR,14,0,20
3,LR,15,1,20
3,LR,16,1,20
3,LR,17,1,20
3,LR,18,1,20
3,LR,19,0,20
3,LR,20,1,20
3,LR,21,1,30
3,LR,22,1,30
3,LR,23,0,30
3,LR,24,0,30
3,LR,25,0,30
3,LR,26,1,30
3,LR,27,1,30
3,LR,28,1,30
3,LR,29,0,30
3,LR,30,0,30
3,LR,31,1,40
3,LR,32,0,40
3,LR,33,0,40
3,LR,34,1,40
3,LR,35,1,40
3,LR,36,1,40
3,LR,37,0,40
3,LR,38,1,40
3,LR,39,1,40
3,LR,40,1,40
4,RL,1,0,10
4,RL,2,1,10
4,RL,3,1,10
4,RL,4,1,10
4,RL,5,1,10
4,RL,6,1,10
4,RL,7,1,10
4,RL,8,1,10
4,RL,9,1,10
4,RL,10,1,10
4,RL,11,1,20
4,RL,12,1,20
4,RL,13,0,20
4,RL,14,1,20
4,RL,15,0,20
4,RL,16,0,20
4,RL,17,1,20
4,RL,18,0,20
4,RL,19,0,20
4,RL,20,1,20
4,RL,21,1,30
4,RL,22,1,30
